loops.thisTrialN,loops.stepSize,loops.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,loops.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
59,0.5,1.5,95.59300270001404,96.09290420007892,96.07595600001514,96.07595600001514,96.37625229987316,right,1.5,1,1,0.5774592999368906,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
60,0.5,1.5,96.67640640004538,97.17620959994383,97.15973820001818,97.15973820001818,97.46006869990379,left,-1.5,1,1,0.5414927001111209,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
61,0.5,1.0,97.72649720008485,98.22614019992761,98.2100347999949,98.2100347999949,98.50960789993405,right,1.0,1,1,0.6383705001790076,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
62,0.5,1.0,98.87554119993001,99.37626869999804,99.37626869999804,99.37626869999804,99.67603929992765,right,1.0,0,0,0.715664500137791,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
63,0.5,1.5,100.1093728998676,100.60977860004641,100.60977860004641,100.60977860004641,100.90984089998528,left,-1.5,1,1,0.6147153999190778,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
64,0.5,1.5,101.24291260004975,101.74260889994912,101.7257673998829,101.7257673998829,102.02564910007641,right,1.5,1,1,0.5942242001183331,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
65,0.5,1.5,102.34259020001628,102.84260919992812,102.82584359985776,102.82584359985776,103.12599159986712,right,1.5,1,1,0.7576115999836475,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
66,0.5,1.0,103.60944669996388,104.10896939993836,104.09256959985942,104.09256959985942,104.39261829992756,right,1.0,1,1,0.6385258999653161,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
67,0.5,1.0,104.75912249996327,105.25888089998625,105.24248140002601,105.24248140002601,105.54238189989701,left,-1.0,1,1,0.7789859999902546,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
68,0.5,1.0,106.04206470004283,106.5423367000185,106.52554300008342,106.52554300008342,106.82615830004215,right,1.0,0,0,0.8527539998758584,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
