80.7441 	EXP 	fixation: autoDraw = True
81.2269 	EXP 	grating: autoDraw = True
81.2443 	EXP 	fixation: autoDraw = False
81.5273 	EXP 	grating: autoDraw = False
83.2134 	DATA 	Keypress: left
83.2269 	EXP 	fixation: autoDraw = False
83.2269 	EXP 	grating: autoDraw = False
83.2269 	EXP 	grating: ori = 1.0
83.2269 	EXP 	fixation: autoDraw = True
83.7278 	EXP 	fixation: autoDraw = False
83.7278 	EXP 	grating: autoDraw = True
84.0272 	EXP 	grating: autoDraw = False
84.4968 	DATA 	Keypress: right
84.5105 	EXP 	fixation: autoDraw = False
84.5105 	EXP 	grating: autoDraw = False
84.5105 	EXP 	grating: ori = 1.0
84.5105 	EXP 	fixation: autoDraw = True
85.0102 	EXP 	fixation: autoDraw = False
85.0102 	EXP 	grating: autoDraw = True
85.3105 	EXP 	grating: autoDraw = False
85.6796 	DATA 	Keypress: right
85.6930 	EXP 	fixation: autoDraw = False
85.6930 	EXP 	grating: autoDraw = False
85.6930 	EXP 	grating: ori = 1.0
85.6930 	EXP 	fixation: autoDraw = True
86.1924 	EXP 	fixation: autoDraw = False
86.1924 	EXP 	grating: autoDraw = True
86.4937 	EXP 	grating: autoDraw = False
86.9446 	DATA 	Keypress: right
86.9593 	EXP 	fixation: autoDraw = False
86.9593 	EXP 	grating: autoDraw = False
86.9593 	EXP 	grating: ori = -0.5
86.9593 	EXP 	fixation: autoDraw = True
87.4604 	EXP 	fixation: autoDraw = False
87.4604 	EXP 	grating: autoDraw = True
87.7603 	EXP 	grating: autoDraw = False
88.0788 	DATA 	Keypress: left
88.0933 	EXP 	fixation: autoDraw = False
88.0933 	EXP 	grating: autoDraw = False
88.0933 	EXP 	grating: ori = 0.5
88.0933 	EXP 	fixation: autoDraw = True
88.5779 	EXP 	grating: autoDraw = True
88.5931 	EXP 	fixation: autoDraw = False
88.8936 	EXP 	grating: autoDraw = False
89.2963 	DATA 	Keypress: right
89.3095 	EXP 	fixation: autoDraw = False
89.3095 	EXP 	grating: autoDraw = False
89.3095 	EXP 	grating: ori = 0.5
89.3095 	EXP 	fixation: autoDraw = True
89.8102 	EXP 	fixation: autoDraw = False
89.8102 	EXP 	grating: autoDraw = True
90.1108 	EXP 	grating: autoDraw = False
90.7626 	DATA 	Keypress: right
90.7767 	EXP 	fixation: autoDraw = False
90.7767 	EXP 	grating: autoDraw = False
90.7767 	EXP 	grating: ori = 0.0
90.7767 	EXP 	fixation: autoDraw = True
91.2779 	EXP 	fixation: autoDraw = False
91.2779 	EXP 	grating: autoDraw = True
91.5935 	EXP 	grating: autoDraw = False
92.0127 	DATA 	Keypress: left
92.0265 	EXP 	fixation: autoDraw = False
92.0265 	EXP 	grating: autoDraw = False
92.0265 	EXP 	grating: ori = -0.5
92.0265 	EXP 	fixation: autoDraw = True
92.5266 	EXP 	fixation: autoDraw = False
92.5266 	EXP 	grating: autoDraw = True
92.8267 	EXP 	grating: autoDraw = False
93.0797 	DATA 	Keypress: right
93.0934 	EXP 	fixation: autoDraw = False
93.0934 	EXP 	grating: autoDraw = False
93.0934 	EXP 	grating: ori = 1.0
93.0934 	EXP 	fixation: autoDraw = True
93.5764 	EXP 	grating: autoDraw = True
93.5933 	EXP 	fixation: autoDraw = False
93.8768 	EXP 	grating: autoDraw = False
94.2967 	DATA 	Keypress: left
94.3092 	EXP 	fixation: autoDraw = False
94.3092 	EXP 	grating: autoDraw = False
94.3092 	EXP 	grating: ori = -1.5
94.3092 	EXP 	fixation: autoDraw = True
94.8097 	EXP 	fixation: autoDraw = False
